Date,Site,treatment,Plot,5,10
6/9/2019,Hydric,Ancillary,1,3,1.6
6/9/2019,Hydric,Ancillary,2,3.1,1.9
6/9/2019,Hydric,Ancillary,3,2,2.6
6/9/2019,Hydric,Ancillary,4,8.4,5.1
6/9/2019,Hydric,Ancillary,5,2.6,1.7
6/9/2019,Hydric,Ancillary,6,5.5,3.5
6/9/2019,Hydric,Ancillary,7,3,2.4
6/9/2019,Hydric,Ancillary,8,5,3
6/10/2019,Xeric,Ancillary,1,9.3,9.3
6/10/2019,Xeric,Ancillary,2,7.6,7.3
6/10/2019,Xeric,Ancillary,3,10,9.6
6/10/2019,Xeric,Ancillary,4,8,7.9
6/10/2019,Xeric,Ancillary,5,7.3,7.1
6/10/2019,Xeric,Ancillary,6,6.2,5.9
6/10/2019,Xeric,Ancillary,7,4.7,3.8
6/10/2019,Xeric,Ancillary,8,4.7,3
6/11/2019,Mesic,Ancillary,1,6.4,4.3
6/11/2019,Mesic,Ancillary,2,4.7,4.5
6/11/2019,Mesic,Ancillary,3,6,4.5
6/11/2019,Mesic,Ancillary,4,3.4,2
6/11/2019,Mesic,Ancillary,5,1.1,1
6/11/2019,Mesic,Ancillary,6,1,1.3
6/11/2019,Mesic,Ancillary,7,1.7,1.4
6/11/2019,Mesic,Ancillary,8,2.1,2.4
6/13/2019,Hydric,Ancillary,1,2.8,2
6/13/2019,Hydric,Ancillary,2,5.4,5
6/13/2019,Hydric,Ancillary,3,3,2.4
6/13/2019,Hydric,Ancillary,4,4.7,3.7
6/13/2019,Hydric,Ancillary,5,3.2,1.7
6/13/2019,Hydric,Ancillary,6,8.9,7
6/13/2019,Hydric,Ancillary,7,3.7,2.7
6/13/2019,Hydric,Ancillary,8,4,3.5
6/14/2019,Xeric,Ancillary,1,10.8,10.5
6/14/2019,Xeric,Ancillary,2,9,8.7
6/14/2019,Xeric,Ancillary,3,10.7,10.1
6/14/2019,Xeric,Ancillary,4,7.7,7.6
6/14/2019,Xeric,Ancillary,5,5.4,3.5
6/14/2019,Xeric,Ancillary,6,8,7.4
6/14/2019,Xeric,Ancillary,7,7.6,7
6/14/2019,Xeric,Ancillary,8,10.1,7.8
6/15/2019,Mesic,Ancillary,1,7,5.6
6/15/2019,Mesic,Ancillary,2,6.8,5
6/15/2019,Mesic,Ancillary,3,6.4,4.2
6/15/2019,Mesic,Ancillary,4,5.3,3.3
6/15/2019,Mesic,Ancillary,5,9.4,6.4
6/15/2019,Mesic,Ancillary,6,8,6.6
6/15/2019,Mesic,Ancillary,7,6.1,4.3
6/15/2019,Mesic,Ancillary,8,3,2.1
6/19/2019,Hydric,Ancillary,1,5.2,3.5
6/19/2019,Hydric,Ancillary,2,6.7,3.7
6/19/2019,Hydric,Ancillary,3,5.8,2.8
6/19/2019,Hydric,Ancillary,4,6.4,6
6/19/2019,Hydric,Ancillary,5,4.7,2.1
6/19/2019,Hydric,Ancillary,6,10.6,7.4
6/19/2019,Hydric,Ancillary,7,4.8,3.2
6/19/2019,Hydric,Ancillary,8,9.1,7.4
6/20/2019,Xeric,Ancillary,1,14.7,12.9
6/20/2019,Xeric,Ancillary,2,12.1,11.3
6/20/2019,Xeric,Ancillary,3,13.6,12.3
6/20/2019,Xeric,Ancillary,4,12,8.5
6/20/2019,Xeric,Ancillary,5,11.6,9.6
6/20/2019,Xeric,Ancillary,6,11.4,10
6/20/2019,Xeric,Ancillary,7,11.3,9
6/20/2019,Xeric,Ancillary,8,12.6,11
6/21/2019,Mesic,Ancillary,1,5.3,1.3
6/21/2019,Mesic,Ancillary,2,7.6,6.2
6/21/2019,Mesic,Ancillary,3,8,6.6
6/21/2019,Mesic,Ancillary,4,7.4,5.1
6/21/2019,Mesic,Ancillary,5,9.4,7
6/21/2019,Mesic,Ancillary,6,5.6,4.3
6/21/2019,Mesic,Ancillary,7,9.7,6.1
6/21/2019,Mesic,Ancillary,8,4.4,3.1
7/24/2019,Xeric,Ancillary,1,13.4,13.4
7/24/2019,Xeric,Ancillary,2,12.5,12.7
7/24/2019,Xeric,Ancillary,3,12.8,13
7/24/2019,Xeric,Ancillary,4,11.7,11.8
7/24/2019,Xeric,Ancillary,5,11,10.2
7/24/2019,Xeric,Ancillary,6,12.8,13
7/24/2019,Xeric,Ancillary,7,12.5,12.9
7/24/2019,Xeric,Ancillary,8,10,10
7/25/2019,Hydric,Ancillary,1,9,9.9
7/25/2019,Hydric,Ancillary,2,10.8,11.5
7/25/2019,Hydric,Ancillary,3,,
7/25/2019,Hydric,Ancillary,4,,
7/25/2019,Hydric,Ancillary,5,,
7/25/2019,Hydric,Ancillary,6,,
7/25/2019,Hydric,Ancillary,7,,
7/25/2019,Hydric,Ancillary,8,,
7/26/2019,Mesic,Ancillary,1,10.1,9.7
7/26/2019,Mesic,Ancillary,2,9.9,7
7/26/2019,Mesic,Ancillary,3,10.3,7.4
7/26/2019,Mesic,Ancillary,4,10,6.9
7/26/2019,Mesic,Ancillary,5,10.6,6.8
7/26/2019,Mesic,Ancillary,6,10.3,9
7/26/2019,Mesic,Ancillary,7,9.6,2
7/26/2019,Mesic,Ancillary,8,10,8.4
8/1/2019,Xeric,Ancillary,1,10.6,11
8/1/2019,Xeric,Ancillary,2,10,10.3
8/1/2019,Xeric,Ancillary,3,10.4,10.7
8/1/2019,Xeric,Ancillary,4,8.6,9
8/1/2019,Xeric,Ancillary,5,8.4,8.8
8/1/2019,Xeric,Ancillary,6,10.8,11
8/1/2019,Xeric,Ancillary,7,10.9,10.9
8/1/2019,Xeric,Ancillary,8,7.7,8
8/2/2019,Hydric,Ancillary,1,,
8/2/2019,Hydric,Ancillary,2,,
8/2/2019,Hydric,Ancillary,3,,
8/2/2019,Hydric,Ancillary,4,,
8/2/2019,Hydric,Ancillary,5,,
8/2/2019,Hydric,Ancillary,6,,
8/2/2019,Hydric,Ancillary,7,,
8/2/2019,Hydric,Ancillary,8,,
8/3/2019,Mesic,Ancillary,1,,
8/3/2019,Mesic,Ancillary,2,,
8/3/2019,Mesic,Ancillary,3,,
8/3/2019,Mesic,Ancillary,4,,
8/3/2019,Mesic,Ancillary,5,,
8/3/2019,Mesic,Ancillary,6,,
8/3/2019,Mesic,Ancillary,7,,
8/3/2019,Mesic,Ancillary,8,,
8/7/2019,Xeric,Ancillary,1,12.2,11.8
8/7/2019,Xeric,Ancillary,2,11.7,10.9
8/7/2019,Xeric,Ancillary,3,11.2,11
8/7/2019,Xeric,Ancillary,4,9.5,9.2
8/7/2019,Xeric,Ancillary,5,10.1,9.3
8/7/2019,Xeric,Ancillary,6,11.1,11
8/7/2019,Xeric,Ancillary,7,11,11
8/7/2019,Xeric,Ancillary,8,9,8.3
8/8/2019,Hydric,Ancillary,1,10.3,8.1
8/8/2019,Hydric,Ancillary,2,1.7,2
8/8/2019,Hydric,Ancillary,3,5.1,4
8/8/2019,Hydric,Ancillary,4,8.6,6.8
8/8/2019,Hydric,Ancillary,5,8.1,4.5
8/8/2019,Hydric,Ancillary,6,8.8,7.4
8/8/2019,Hydric,Ancillary,7,9.3,8.4
8/8/2019,Hydric,Ancillary,8,9,7.9
8/9/2019,Mesic,Ancillary,1,,
8/9/2019,Mesic,Ancillary,2,,
8/9/2019,Mesic,Ancillary,3,,
8/9/2019,Mesic,Ancillary,4,,
8/9/2019,Mesic,Ancillary,5,,
8/9/2019,Mesic,Ancillary,6,,
8/9/2019,Mesic,Ancillary,7,,
8/9/2019,Mesic,Ancillary,8,,
8/12/2019,Xeric,Ancillary,1,,
8/12/2019,Xeric,Ancillary,2,,
8/12/2019,Xeric,Ancillary,3,,
8/12/2019,Xeric,Ancillary,4,,
8/12/2019,Xeric,Ancillary,5,,
8/12/2019,Xeric,Ancillary,6,,
8/12/2019,Xeric,Ancillary,7,,
8/12/2019,Xeric,Ancillary,8,,
8/13/2019,Hydric,Ancillary,1,,
8/13/2019,Hydric,Ancillary,2,,
8/13/2019,Hydric,Ancillary,3,,
8/13/2019,Hydric,Ancillary,4,,
8/13/2019,Hydric,Ancillary,5,,
8/13/2019,Hydric,Ancillary,6,,
8/13/2019,Hydric,Ancillary,7,,
8/13/2019,Hydric,Ancillary,8,,
8/14/2019,Mesic,Ancillary,1,,
8/14/2019,Mesic,Ancillary,2,,
8/14/2019,Mesic,Ancillary,3,,
8/14/2019,Mesic,Ancillary,4,,
8/14/2019,Mesic,Ancillary,5,,
8/14/2019,Mesic,Ancillary,6,,
8/14/2019,Mesic,Ancillary,7,,
8/14/2019,Mesic,Ancillary,8,,
6/6/2019,Hydric,Control,1,4.4,3.7
6/6/2019,Hydric,Control,2,3,4.1
6/6/2019,Hydric,Control,3,2.2,1.9
6/6/2019,Hydric,Control,4,4,3.6
6/6/2019,Hydric,Control,5,3.4,2
6/6/2019,Hydric,Control,6,5,5.1
6/6/2019,Hydric,Control,7,2.6,2.2
6/6/2019,Hydric,Control,8,4.8,5
6/7/2019,Xeric,Control,1,4.6,4.4
6/7/2019,Xeric,Control,2,1.4,0.7
6/7/2019,Xeric,Control,3,1.7,1
6/7/2019,Xeric,Control,4,6.7,7
6/7/2019,Xeric,Control,5,9.4,9.6
6/7/2019,Xeric,Control,6,5.6,5.4
6/7/2019,Xeric,Control,7,6.6,6.3
6/7/2019,Xeric,Control,8,6.3,5.9
6/8/2019,Mesic,Control,1,2.1,1
6/8/2019,Mesic,Control,2,5.7,3.4
6/8/2019,Mesic,Control,3,1.7,1.5
6/8/2019,Mesic,Control,4,3.6,4
6/8/2019,Mesic,Control,5,3.3,3
6/8/2019,Mesic,Control,6,1.7,0.6
6/8/2019,Mesic,Control,7,1,0.6
6/8/2019,Mesic,Control,8,1,1
6/13/2019,Hydric,Control,1,7.6,7
6/13/2019,Hydric,Control,2,5,4.4
6/13/2019,Hydric,Control,3,5.9,4.7
6/13/2019,Hydric,Control,4,6,5
6/13/2019,Hydric,Control,5,6,4.5
6/13/2019,Hydric,Control,6,6.3,3
6/13/2019,Hydric,Control,7,5.5,6.9
6/13/2019,Hydric,Control,8,7.5,5
6/14/2019,Xeric,Control,1,9.8,6.4
6/14/2019,Xeric,Control,2,4.9,4.1
6/14/2019,Xeric,Control,3,6.8,6.6
6/14/2019,Xeric,Control,4,8.6,8.3
6/14/2019,Xeric,Control,5,12,12
6/14/2019,Xeric,Control,6,8.1,7
6/14/2019,Xeric,Control,7,10.1,9.7
6/14/2019,Xeric,Control,8,10.1,5.3
6/15/2019,Mesic,Control,1,3,3
6/15/2019,Mesic,Control,2,4.3,4.3
6/15/2019,Mesic,Control,3,3,2.7
6/15/2019,Mesic,Control,4,7.5,5.7
6/15/2019,Mesic,Control,5,4.4,3
6/15/2019,Mesic,Control,6,4.2,3.6
6/15/2019,Mesic,Control,7,5.7,4.6
6/15/2019,Mesic,Control,8,4.4,4.2
6/19/2019,Hydric,Control,1,7.3,6.5
6/19/2019,Hydric,Control,2,10.3,9
6/19/2019,Hydric,Control,3,8,6
6/19/2019,Hydric,Control,4,8.2,7.7
6/19/2019,Hydric,Control,5,8.6,7.2
6/19/2019,Hydric,Control,6,8.6,3.5
6/19/2019,Hydric,Control,7,7,5.9
6/19/2019,Hydric,Control,8,7,5.7
6/20/2019,Xeric,Control,1,13,11.6
6/20/2019,Xeric,Control,2,9,6.9
6/20/2019,Xeric,Control,3,12.7,11.3
6/20/2019,Xeric,Control,4,17.4,14.2
6/20/2019,Xeric,Control,5,16.3,15
6/20/2019,Xeric,Control,6,9.3,8.5
6/20/2019,Xeric,Control,7,9,8
6/20/2019,Xeric,Control,8,14.1,12.4
6/21/2019,Mesic,Control,1,8,5.7
6/21/2019,Mesic,Control,2,8.7,6.7
6/21/2019,Mesic,Control,3,11.7,7.3
6/21/2019,Mesic,Control,4,8.7,7
6/21/2019,Mesic,Control,5,6.3,5.1
6/21/2019,Mesic,Control,6,8.4,7.6
6/21/2019,Mesic,Control,7,5.1,4
6/21/2019,Mesic,Control,8,5.3,3
7/24/2019,Xeric,Control,1,12.5,12
7/24/2019,Xeric,Control,2,12,12
7/24/2019,Xeric,Control,3,12.6,12.9
7/24/2019,Xeric,Control,4,12.3,12.3
7/24/2019,Xeric,Control,5,13.7,14
7/24/2019,Xeric,Control,6,11.3,11
7/24/2019,Xeric,Control,7,12.1,12
7/24/2019,Xeric,Control,8,11.3,11
7/25/2019,Hydric,Control,1,10.1,10.5
7/25/2019,Hydric,Control,2,9.6,11.1
7/25/2019,Hydric,Control,3,10,10.2
7/25/2019,Hydric,Control,4,10.7,11.1
7/25/2019,Hydric,Control,5,9.8,10.6
7/25/2019,Hydric,Control,6,,
7/25/2019,Hydric,Control,7,,
7/25/2019,Hydric,Control,8,,
7/26/2019,Mesic,Control,1,10.5,7.6
7/26/2019,Mesic,Control,2,6.8,6.2
7/26/2019,Mesic,Control,3,10.1,9.5
7/26/2019,Mesic,Control,4,10.3,8.6
7/26/2019,Mesic,Control,5,10,8.4
7/26/2019,Mesic,Control,6,9.2,8
7/26/2019,Mesic,Control,7,9.3,9.3
7/26/2019,Mesic,Control,8,7.8,8
8/1/2019,Xeric,Control,1,9.1,9.8
8/1/2019,Xeric,Control,2,10.4,10.7
8/1/2019,Xeric,Control,3,9.6,10
8/1/2019,Xeric,Control,4,9.4,10
8/1/2019,Xeric,Control,5,10.2,10.7
8/1/2019,Xeric,Control,6,8.5,9
8/1/2019,Xeric,Control,7,9.6,10
8/1/2019,Xeric,Control,8,9.4,9.6
8/2/2019,Hydric,Control,1,,
8/2/2019,Hydric,Control,2,,
8/2/2019,Hydric,Control,3,,
8/2/2019,Hydric,Control,4,,
8/2/2019,Hydric,Control,5,,
8/2/2019,Hydric,Control,6,,
8/2/2019,Hydric,Control,7,,
8/2/2019,Hydric,Control,8,,
8/3/2019,Mesic,Control,1,,
8/3/2019,Mesic,Control,2,,
8/3/2019,Mesic,Control,3,,
8/3/2019,Mesic,Control,4,,
8/3/2019,Mesic,Control,5,,
8/3/2019,Mesic,Control,6,,
8/3/2019,Mesic,Control,7,,
8/3/2019,Mesic,Control,8,,
8/7/2019,Xeric,Control,1,12.1,10.4
8/7/2019,Xeric,Control,2,11.1,11
8/7/2019,Xeric,Control,3,11.5,11.3
8/7/2019,Xeric,Control,4,10.5,10.5
8/7/2019,Xeric,Control,5,11.9,11.7
8/7/2019,Xeric,Control,6,9.8,9.4
8/7/2019,Xeric,Control,7,11.2,10
8/7/2019,Xeric,Control,8,11.9,10.1
8/8/2019,Hydric,Control,1,7.2,6
8/8/2019,Hydric,Control,2,10.3,10
8/8/2019,Hydric,Control,3,9,7.9
8/8/2019,Hydric,Control,4,7.3,5.3
8/8/2019,Hydric,Control,5,11.4,9.6
8/8/2019,Hydric,Control,6,9.4,6.9
8/8/2019,Hydric,Control,7,7.8,7.2
8/8/2019,Hydric,Control,8,8.9,7
8/9/2019,Mesic,Control,1,,
8/9/2019,Mesic,Control,2,,
8/9/2019,Mesic,Control,3,,
8/9/2019,Mesic,Control,4,,
8/9/2019,Mesic,Control,5,,
8/9/2019,Mesic,Control,6,,
8/9/2019,Mesic,Control,7,,
8/9/2019,Mesic,Control,8,,
8/12/2019,Xeric,Control,1,,
8/12/2019,Xeric,Control,2,,
8/12/2019,Xeric,Control,3,,
8/12/2019,Xeric,Control,4,,
8/12/2019,Xeric,Control,5,,
8/12/2019,Xeric,Control,6,,
8/12/2019,Xeric,Control,7,,
8/12/2019,Xeric,Control,8,,
8/13/2019,Hydric,Control,1,,
8/13/2019,Hydric,Control,2,,
8/13/2019,Hydric,Control,3,,
8/13/2019,Hydric,Control,4,,
8/13/2019,Hydric,Control,5,,
8/13/2019,Hydric,Control,6,,
8/13/2019,Hydric,Control,7,,
8/13/2019,Hydric,Control,8,,
8/14/2019,Mesic,Control,1,,
8/14/2019,Mesic,Control,2,,
8/14/2019,Mesic,Control,3,,
8/14/2019,Mesic,Control,4,,
8/14/2019,Mesic,Control,5,,
8/14/2019,Mesic,Control,6,,
8/14/2019,Mesic,Control,7,,
8/14/2019,Mesic,Control,8,,
6/9/2019,Hydric,Fert,1,2.3,1.6
6/9/2019,Hydric,Fert,2,4.2,1.2
6/9/2019,Hydric,Fert,3,6,2.2
6/9/2019,Hydric,Fert,4,7.9,5
6/9/2019,Hydric,Fert,5,5.6,3
6/10/2019,Xeric,Fert,1,9,7.1
6/10/2019,Xeric,Fert,2,4.7,4.4
6/10/2019,Xeric,Fert,3,5.2,5
6/10/2019,Xeric,Fert,4,5.5,5
6/10/2019,Xeric,Fert,5,5.8,4.9
6/11/2019,Mesic,Fert,1,1.4,1
6/11/2019,Mesic,Fert,2,6.6,4
6/11/2019,Mesic,Fert,3,4.6,3.7
6/11/2019,Mesic,Fert,4,3.4,3.6
6/11/2019,Mesic,Fert,5,1.4,0.6
6/13/2019,Hydric,Fert,1,4,2.4
6/13/2019,Hydric,Fert,2,4.6,3.1
6/13/2019,Hydric,Fert,3,2.4,2.4
6/13/2019,Hydric,Fert,4,7.9,5.1
6/13/2019,Hydric,Fert,5,7.7,4.4
6/14/2019,Xeric,Fert,1,9,7.9
6/14/2019,Xeric,Fert,2,6.4,5.7
6/14/2019,Xeric,Fert,3,7.6,6.7
6/14/2019,Xeric,Fert,4,8,7.3
6/14/2019,Xeric,Fert,5,7.9,7
