Date,Site,treatment,Plot,5,10
6/15/2019,Mesic,Fert,1,9.8,6.9
6/15/2019,Mesic,Fert,2,9,5.1
6/15/2019,Mesic,Fert,3,8,7.9
6/15/2019,Mesic,Fert,4,6.2,4.4
6/15/2019,Mesic,Fert,5,4.8,4.7
6/19/2019,Hydric,Fert,1,6,3.7
6/19/2019,Hydric,Fert,2,8.6,5.9
6/19/2019,Hydric,Fert,3,8.6,4.9
6/19/2019,Hydric,Fert,4,4.5,4
6/19/2019,Hydric,Fert,5,3,1.9
6/20/2019,Xeric,Fert,1,11.4,10.4
6/20/2019,Xeric,Fert,2,11.3,8
6/20/2019,Xeric,Fert,3,12.1,11.4
6/20/2019,Xeric,Fert,4,12,10
6/20/2019,Xeric,Fert,5,11.6,9.5
6/21/2019,Mesic,Fert,1,13.7,12.4
6/21/2019,Mesic,Fert,2,16.4,13.4
6/21/2019,Mesic,Fert,3,13,10
6/21/2019,Mesic,Fert,4,10.4,8.3
6/21/2019,Mesic,Fert,5,10,8
7/24/2019,Xeric,Fert,1,12,12
7/24/2019,Xeric,Fert,2,11.5,11.1
7/24/2019,Xeric,Fert,3,12.2,11.8
7/24/2019,Xeric,Fert,4,13,12.7
7/24/2019,Xeric,Fert,5,12.9,12.6
7/25/2019,Hydric,Fert,1,,
7/25/2019,Hydric,Fert,2,,
7/25/2019,Hydric,Fert,3,,
7/25/2019,Hydric,Fert,4,,
7/25/2019,Hydric,Fert,5,,
7/26/2019,Mesic,Fert,1,10.3,8
7/26/2019,Mesic,Fert,2,9.7,7.8
7/26/2019,Mesic,Fert,3,12,9
7/26/2019,Mesic,Fert,4,10,8.5
7/26/2019,Mesic,Fert,5,12,10
8/1/2019,Xeric,Fert,1,9.7,10
8/1/2019,Xeric,Fert,2,9,9.5
8/1/2019,Xeric,Fert,3,10,9.9
8/1/2019,Xeric,Fert,4,10.1,10.5
8/1/2019,Xeric,Fert,5,10,10.4
8/2/2019,Hydric,Fert,1,,
8/2/2019,Hydric,Fert,2,,
8/2/2019,Hydric,Fert,3,,
8/2/2019,Hydric,Fert,4,,
8/2/2019,Hydric,Fert,5,,
8/3/2019,Mesic,Fert,1,,
8/3/2019,Mesic,Fert,2,,
8/3/2019,Mesic,Fert,3,,
8/3/2019,Mesic,Fert,4,,
8/3/2019,Mesic,Fert,5,,
8/7/2019,Xeric,Fert,1,9.8,10
8/7/2019,Xeric,Fert,2,9.8,8.7
8/7/2019,Xeric,Fert,3,11.2,10.2
8/7/2019,Xeric,Fert,4,11,10.9
8/7/2019,Xeric,Fert,5,10.9,10.9
8/8/2019,Hydric,Fert,1,1.2,0.9
8/8/2019,Hydric,Fert,2,9.4,7.3
8/8/2019,Hydric,Fert,3,9.7,7.9
8/8/2019,Hydric,Fert,4,11.6,8
8/8/2019,Hydric,Fert,5,9.4,7.1
8/9/2019,Mesic,Fert,1,,
8/9/2019,Mesic,Fert,2,,
8/9/2019,Mesic,Fert,3,,
8/9/2019,Mesic,Fert,4,,
8/9/2019,Mesic,Fert,5,,
8/12/2019,Xeric,Fert,1,,
8/12/2019,Xeric,Fert,2,,
8/12/2019,Xeric,Fert,3,,
8/12/2019,Xeric,Fert,4,,
8/12/2019,Xeric,Fert,5,,
8/13/2019,Hydric,Fert,1,,
8/13/2019,Hydric,Fert,2,,
8/13/2019,Hydric,Fert,3,,
8/13/2019,Hydric,Fert,4,,
8/13/2019,Hydric,Fert,5,,
8/14/2019,Mesic,Fert,1,,
8/14/2019,Mesic,Fert,2,,
8/14/2019,Mesic,Fert,3,,
8/14/2019,Mesic,Fert,4,,
8/14/2019,Mesic,Fert,5,,
6/6/2019,Hydric,Snowfence,1,2.6,5
6/6/2019,Hydric,Snowfence,2,2.8,1.7
6/6/2019,Hydric,Snowfence,3,4.2,3.4
6/6/2019,Hydric,Snowfence,4,6,5.5
6/6/2019,Hydric,Snowfence,5,5,5.1
6/6/2019,Hydric,Snowfence,6,5.1,5
6/6/2019,Hydric,Snowfence,7,4.8,5
6/6/2019,Hydric,Snowfence,8,4.7,4.4
6/7/2019,Xeric,Snowfence,1,5.7,5.5
6/7/2019,Xeric,Snowfence,2,1,0.8
6/7/2019,Xeric,Snowfence,3,6.6,6.6
6/7/2019,Xeric,Snowfence,4,7.6,7.7
6/7/2019,Xeric,Snowfence,5,8.6,8.9
6/7/2019,Xeric,Snowfence,6,8.7,8.4
6/7/2019,Xeric,Snowfence,7,8.6,7.6
6/7/2019,Xeric,Snowfence,8,7,6.3
6/8/2019,Mesic,Snowfence,1,3.8,3.2
6/8/2019,Mesic,Snowfence,2,1.5,0.7
6/8/2019,Mesic,Snowfence,3,7,6
6/8/2019,Mesic,Snowfence,4,2.7,1.6
6/8/2019,Mesic,Snowfence,5,3,2.2
6/8/2019,Mesic,Snowfence,6,3,2.2
6/8/2019,Mesic,Snowfence,7,2,2
6/8/2019,Mesic,Snowfence,8,2.2,1.9
6/13/2019,Hydric,Snowfence,1,5.2,1.6
6/13/2019,Hydric,Snowfence,2,3.6,2.4
6/13/2019,Hydric,Snowfence,3,7.4,6.3
6/13/2019,Hydric,Snowfence,4,5.7,5
6/13/2019,Hydric,Snowfence,5,7,6.8
6/13/2019,Hydric,Snowfence,6,5,4.4
6/13/2019,Hydric,Snowfence,7,9.7,8.3
6/13/2019,Hydric,Snowfence,8,8.7,5.8
6/14/2019,Xeric,Snowfence,1,9.1,8.7
6/14/2019,Xeric,Snowfence,2,5.7,3.9
6/14/2019,Xeric,Snowfence,3,9.6,8.6
6/14/2019,Xeric,Snowfence,4,7.7,7.4
6/14/2019,Xeric,Snowfence,5,10,9.6
6/14/2019,Xeric,Snowfence,6,7.6,7.5
6/14/2019,Xeric,Snowfence,7,10.1,9.7
6/14/2019,Xeric,Snowfence,8,9.4,8.4
6/15/2019,Mesic,Snowfence,1,11.8,10.2
6/15/2019,Mesic,Snowfence,2,6.8,5.9
6/15/2019,Mesic,Snowfence,3,12.2,9.4
6/15/2019,Mesic,Snowfence,4,8,4.9
6/15/2019,Mesic,Snowfence,5,8.8,7
6/15/2019,Mesic,Snowfence,6,2.8,2
6/15/2019,Mesic,Snowfence,7,5,4.6
6/15/2019,Mesic,Snowfence,8,4.6,4.4
6/19/2019,Hydric,Snowfence,1,9,7.7
6/19/2019,Hydric,Snowfence,2,8.4,7.4
6/19/2019,Hydric,Snowfence,3,6.5,5.6
6/19/2019,Hydric,Snowfence,4,9.7,8.7
6/19/2019,Hydric,Snowfence,5,8.7,6.6
6/19/2019,Hydric,Snowfence,6,9.5,8.4
6/19/2019,Hydric,Snowfence,7,10.6,9.8
6/19/2019,Hydric,Snowfence,8,11,7.7
6/20/2019,Xeric,Snowfence,1,9.7,6.7
6/20/2019,Xeric,Snowfence,2,13.4,11.4
6/20/2019,Xeric,Snowfence,3,13.4,12
6/20/2019,Xeric,Snowfence,4,12.9,11.7
6/20/2019,Xeric,Snowfence,5,13.4,13
6/20/2019,Xeric,Snowfence,6,13.3,12.2
6/20/2019,Xeric,Snowfence,7,10.4,12.4
6/20/2019,Xeric,Snowfence,8,14,12.6
6/21/2019,Mesic,Snowfence,1,11.4,10.2
6/21/2019,Mesic,Snowfence,2,8.7,6.6
6/21/2019,Mesic,Snowfence,3,10.3,9.1
6/21/2019,Mesic,Snowfence,4,7.4,5.8
6/21/2019,Mesic,Snowfence,5,12.3,9.9
6/21/2019,Mesic,Snowfence,6,6.5,5.4
6/21/2019,Mesic,Snowfence,7,6.4,5
6/21/2019,Mesic,Snowfence,8,7.6,2.9
7/24/2019,Xeric,Snowfence,1,13.4,13.2
7/24/2019,Xeric,Snowfence,2,11.3,11.5
7/24/2019,Xeric,Snowfence,3,12.5,12.5
7/24/2019,Xeric,Snowfence,4,12.1,12.1
7/24/2019,Xeric,Snowfence,5,12.6,12.9
7/24/2019,Xeric,Snowfence,6,11.4,12
7/24/2019,Xeric,Snowfence,7,13,13
7/24/2019,Xeric,Snowfence,8,11.9,11.7
7/25/2019,Hydric,Snowfence,1,8.5,9.3
7/25/2019,Hydric,Snowfence,2,10.4,11
7/25/2019,Hydric,Snowfence,3,12,12
7/25/2019,Hydric,Snowfence,4,,
7/25/2019,Hydric,Snowfence,5,,
7/25/2019,Hydric,Snowfence,6,,
7/25/2019,Hydric,Snowfence,7,,
7/25/2019,Hydric,Snowfence,8,,
7/26/2019,Mesic,Snowfence,1,12.7,12.2
7/26/2019,Mesic,Snowfence,2,10.9,7.7
7/26/2019,Mesic,Snowfence,3,11.9,10.1
7/26/2019,Mesic,Snowfence,4,6,4.3
7/26/2019,Mesic,Snowfence,5,11.5,10.1
7/26/2019,Mesic,Snowfence,6,9,7.8
7/26/2019,Mesic,Snowfence,7,9.2,8.5
7/26/2019,Mesic,Snowfence,8,7.3,6.6
8/1/2019,Xeric,Snowfence,1,10.5,11
8/1/2019,Xeric,Snowfence,2,9.6,9.5
8/1/2019,Xeric,Snowfence,3,9.5,10
8/1/2019,Xeric,Snowfence,4,9.9,10.3
8/1/2019,Xeric,Snowfence,5,9.8,10.4
8/1/2019,Xeric,Snowfence,6,9.7,10
8/1/2019,Xeric,Snowfence,7,9.8,10
8/1/2019,Xeric,Snowfence,8,9.3,9.7
8/2/2019,Hydric,Snowfence,1,,
8/2/2019,Hydric,Snowfence,2,,
8/2/2019,Hydric,Snowfence,3,,
8/2/2019,Hydric,Snowfence,4,,
8/2/2019,Hydric,Snowfence,5,,
8/2/2019,Hydric,Snowfence,6,,
8/2/2019,Hydric,Snowfence,7,,
8/2/2019,Hydric,Snowfence,8,,
8/3/2019,Mesic,Snowfence,1,,
8/3/2019,Mesic,Snowfence,2,,
8/3/2019,Mesic,Snowfence,3,,
8/3/2019,Mesic,Snowfence,4,,
8/3/2019,Mesic,Snowfence,5,,
8/3/2019,Mesic,Snowfence,6,,
8/3/2019,Mesic,Snowfence,7,,
8/3/2019,Mesic,Snowfence,8,,
8/7/2019,Xeric,Snowfence,1,12.3,11.4
8/7/2019,Xeric,Snowfence,2,10.7,10.6
8/7/2019,Xeric,Snowfence,3,10.7,10.8
8/7/2019,Xeric,Snowfence,4,10.5,10.6
8/7/2019,Xeric,Snowfence,5,10.5,10.7
8/7/2019,Xeric,Snowfence,6,10,10.2
8/7/2019,Xeric,Snowfence,7,10,9.9
8/7/2019,Xeric,Snowfence,8,11.5,10.7
8/8/2019,Hydric,Snowfence,1,6.9,5.9
8/8/2019,Hydric,Snowfence,2,8.2,7.2
8/8/2019,Hydric,Snowfence,3,9,8.7
8/8/2019,Hydric,Snowfence,4,9.1,8.1
8/8/2019,Hydric,Snowfence,5,8.8,8.2
8/8/2019,Hydric,Snowfence,6,8.8,6
8/8/2019,Hydric,Snowfence,7,7.2,7.1
8/8/2019,Hydric,Snowfence,8,11.4,9.3
8/9/2019,Mesic,Snowfence,1,,
8/9/2019,Mesic,Snowfence,2,,
8/9/2019,Mesic,Snowfence,3,,
8/9/2019,Mesic,Snowfence,4,,
8/9/2019,Mesic,Snowfence,5,,
8/9/2019,Mesic,Snowfence,6,,
8/9/2019,Mesic,Snowfence,7,,
8/9/2019,Mesic,Snowfence,8,,
8/12/2019,Xeric,Snowfence,1,,
8/12/2019,Xeric,Snowfence,2,,
8/12/2019,Xeric,Snowfence,3,,
8/12/2019,Xeric,Snowfence,4,,
8/12/2019,Xeric,Snowfence,5,,
8/12/2019,Xeric,Snowfence,6,,
8/12/2019,Xeric,Snowfence,7,,
8/12/2019,Xeric,Snowfence,8,,
8/13/2019,Hydric,Snowfence,1,,
8/13/2019,Hydric,Snowfence,2,,
8/13/2019,Hydric,Snowfence,3,,
8/13/2019,Hydric,Snowfence,4,,
8/13/2019,Hydric,Snowfence,5,,
8/13/2019,Hydric,Snowfence,6,,
8/13/2019,Hydric,Snowfence,7,,
8/13/2019,Hydric,Snowfence,8,,
8/14/2019,Mesic,Snowfence,1,,
8/14/2019,Mesic,Snowfence,2,,
8/14/2019,Mesic,Snowfence,3,,
8/14/2019,Mesic,Snowfence,4,,
8/14/2019,Mesic,Snowfence,5,,
8/14/2019,Mesic,Snowfence,6,,
8/14/2019,Mesic,Snowfence,7,,
8/14/2019,Mesic,Snowfence,8,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
